epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,461.539,1.07937,4.91125,1.56929,0.52422,0.09221,0.04307,0.03092,0.98138,3.49141,1.72003,0.00998656,0.00332885,0.00998656,0.00332885,0.00998656,0.00332885,0.00998656,0.00332885
2,879.095,0.93402,3.6108,1.41315,0.30083,0.21146,0.13411,0.09387,1.00205,3.06648,1.7302,0.0196568,0.00655226,0.0196568,0.00655226,0.0196568,0.00655226,0.0196568,0.00655226
3,1272.01,0.93663,3.29935,1.41019,0.3242,0.20373,0.12751,0.08377,1.06882,3.08687,1.77537,0.028997,0.00966567,0.028997,0.00966567,0.028997,0.00966567,0.028997,0.00966567
4,1662.9,0.94908,3.07718,1.41356,0.32961,0.31807,0.2367,0.16912,0.94319,2.49945,1.63533,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,2054.43,0.91301,2.71905,1.38482,0.37092,0.34545,0.30324,0.22524,0.91613,2.25064,1.59138,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2446.16,0.89865,2.5365,1.3722,0.34173,0.37413,0.32009,0.23741,0.9092,2.20539,1.62,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,2836.89,0.87514,2.37563,1.35658,0.38665,0.43683,0.40066,0.29869,0.87624,1.97855,1.55727,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,3229.85,0.86389,2.26648,1.34854,0.41748,0.46515,0.44389,0.33268,0.85582,1.87261,1.52318,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,3624.03,0.85245,2.18326,1.33855,0.42963,0.47187,0.46521,0.3522,0.84415,1.77942,1.50903,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,4016.07,0.84499,2.0883,1.331,0.45783,0.50482,0.49926,0.3777,0.84676,1.69052,1.50545,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,4408.38,0.83642,2.02844,1.32833,0.50548,0.51386,0.53877,0.41044,0.81979,1.60462,1.47702,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,4801.09,0.81381,1.95678,1.31171,0.50562,0.54766,0.55399,0.42606,0.82044,1.56092,1.48096,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,5193.49,0.82501,1.90836,1.31633,0.51918,0.54524,0.57331,0.43899,0.81261,1.49147,1.47581,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,5585.34,0.80184,1.86001,1.3037,0.53032,0.57018,0.60556,0.46441,0.81067,1.41279,1.46801,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,5977.81,0.80158,1.80271,1.30016,0.55976,0.58772,0.62427,0.47825,0.80741,1.3687,1.46235,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,6371.22,0.79231,1.73167,1.29382,0.5705,0.59875,0.62673,0.48562,0.79457,1.36068,1.45347,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,6763.96,0.78746,1.70306,1.2922,0.58439,0.59987,0.64736,0.50004,0.79738,1.28791,1.44918,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,7156.02,0.77559,1.66983,1.28549,0.63078,0.59029,0.65865,0.50862,0.7937,1.27775,1.44922,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,7548.65,0.7705,1.62811,1.2827,0.61019,0.62328,0.66769,0.51843,0.79056,1.23698,1.44422,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,7940.81,0.77753,1.59969,1.2839,0.62661,0.64158,0.68553,0.53195,0.78125,1.21084,1.43537,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,8333.92,0.76474,1.55432,1.27937,0.64645,0.61422,0.68808,0.53636,0.77908,1.18189,1.4244,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,8727.19,0.75818,1.53162,1.27216,0.65737,0.64027,0.70079,0.54848,0.77595,1.14715,1.42237,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,9120.29,0.76192,1.49528,1.27271,0.66387,0.64466,0.70964,0.55455,0.77653,1.13767,1.42829,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,9513.52,0.752,1.46722,1.26487,0.66647,0.6681,0.72651,0.57012,0.76853,1.10535,1.41585,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
